table,panel,column,row,type,mine,pub,diff_val,mine_se,pub_se,diff_se,matched,note
4,,1,Democracy_t-1,coef,0.28347809409296,0.283,4.7809409296001304e-4,0.05752604988239394,0.058,4.7395011760606454e-4,TRUE,NA
4,,1,Log GDP per capita_t-1,coef,-0.03125424097328454,-0.031,2.542409732845391e-4,0.04921183570395453,0.049,2.118357039545271e-4,TRUE,NA
4,,1,Observations,count,630,630,0,NA,NA,NA,TRUE,NA
4,,1,Countries,count,90,90,0,NA,NA,NA,TRUE,NA
4,,1,R-squared,r2,0.798669185115227,0.8,0.001330814884773046,NA,NA,NA,TRUE,NA
4,,2,Democracy_t-1,coef,0.4720600499676839,0.472,6.004996768393944e-5,0.09215846181295308,0.092,1.5846181295307848e-4,TRUE,NA
4,,2,Log GDP per capita_t-1,coef,-0.26200003448401654,-0.262,3.448401653116662e-8,0.12785713057711548,0.128,1.4286942288452287e-4,TRUE,NA
4,,2,Observations,count,567,567,0,NA,NA,NA,TRUE,NA
4,,2,Countries,count,81,81,0,NA,NA,NA,TRUE,NA
4,,3,Democracy_t-1,coef,0.3619724016592792,0.362,2.7598340720802472e-5,0.05159500721729659,0.052,4.049927827034089e-4,TRUE,NA
4,,3,Log GDP per capita_t-1,coef,0.00485731285275726,0.005,1.4268714724274042e-4,0.03539843656272425,0.035,3.984365627242442e-4,TRUE,NA
4,,3,Observations,count,908,908,0,NA,NA,NA,TRUE,NA
4,,3,Countries,count,128,128,0,NA,NA,NA,TRUE,NA
4,,3,R-squared,r2,0.793536218492801,0.79,0.0035362184928009466,NA,NA,NA,TRUE,NA
4,,4,Democracy_t-1,coef,0.4364535876167134,0.436,4.535876167133801e-4,0.08540877978475749,0.085,4.087797847574792e-4,TRUE,NA
4,,4,Log GDP per capita_t-1,coef,-0.15101608856340265,-0.151,1.6088563402655298e-5,0.07849219726716031,0.078,4.921972671603075e-4,TRUE,NA
4,,4,Observations,count,823,823,0,NA,NA,NA,TRUE,NA
4,,4,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
4,,5,Democracy_t-1,coef,0.3533331790140891,0.353,3.3317901408913553e-4,0.05291790564548579,0.053,8.209435451420749e-5,TRUE,NA
4,,5,Log GDP per capita_t-1,coef,0.01481039153349222,0.015,1.8960846650777942e-4,0.04060741316948763,0.041,3.925868305123745e-4,TRUE,NA
4,,5,Log population_t-1,coef,-0.108801619793262,-0.109,1.9838020673799972e-4,0.09960483615572198,0.1,3.951638442780264e-4,TRUE,NA
4,,5,Observations,count,863,863,0,NA,NA,NA,TRUE,NA
4,,5,Countries,count,142,142,0,NA,NA,NA,TRUE,NA
4,,5,R-squared,r2,0.7954545072602361,0.8,0.004545492739763901,NA,NA,NA,TRUE,NA
4,,6,Democracy_t-1,coef,0.480281646978944,0.48,2.816469789440057e-4,0.08732476477677176,0.087,3.247647767717632e-4,TRUE,NA
4,,6,Log GDP per capita_t-1,coef,-0.00766313775991855,-0.008,3.368622400814498e-4,0.13918782299203378,0.139,1.8782299203376485e-4,TRUE,NA
4,,6,Log population_t-1,coef,-0.00140321938184229,-0.001,4.0321938184229e-4,0.11291810886833978,0.113,8.189113166022499e-5,TRUE,NA
4,,6,Observations,count,731,731,0,NA,NA,NA,TRUE,NA
4,,6,Countries,count,120,120,0,NA,NA,NA,TRUE,NA
4,,7,Democracy_t-1,coef,0.351172457479976,0.351,1.7245747997601812e-4,0.05527996816282708,0.055,2.799681628270767e-4,TRUE,NA
4,,7,Log GDP per capita_t-1,coef,-0.001035806317199,-0.001,3.580631719899991e-5,0.0488918678699284,0.049,1.0813213007160316e-4,TRUE,NA
4,,7,Log population_t-1,coef,-0.04218977439547666,-0.042,1.897743954766551e-4,0.10813214917464592,0.108,1.321491746459208e-4,TRUE,NA
4,,7,Education_t-1,coef,-0.00740560327974754,-0.007,4.056032797475403e-4,0.01972624932536602,0.02,2.737506746339803e-4,TRUE,NA
4,,7,Observations,count,676,676,0,NA,NA,NA,TRUE,NA
4,,7,Countries,count,95,95,0,NA,NA,NA,TRUE,NA
4,,7,R-squared,r2,0.7661381012001476,0.77,0.0038618987998524368,NA,NA,NA,TRUE,NA
4,,8,Democracy_t-1,coef,0.4991001170390578,0.499,1.0011703905782321e-4,0.09663081052097036,0.097,3.691894790296413e-4,TRUE,NA
4,,8,Log GDP per capita_t-1,coef,-0.1213457435372629,-0.121,3.457435372629103e-4,0.18194540768386144,0.182,5.459231613855198e-5,TRUE,NA
4,,8,Log population_t-1,coef,0.04944817398853773,0.049,4.48173988537727e-4,0.14285125127028436,0.143,1.4874872971562536e-4,TRUE,NA
4,,8,Education_t-1,coef,-0.02003518627194733,-0.02,3.518627194732879e-5,0.02624687354510647,0.026,2.46873545106472e-4,TRUE,NA
4,,8,Observations,count,589,589,0,NA,NA,NA,TRUE,NA
4,,8,Countries,count,92,92,0,NA,NA,NA,TRUE,NA
