table,panel,column,row,type,value,se,note
2,,1,dem,coef,0.706,0.035,
2,,2,dem,coef,0.379,0.051,
2,,3,dem,coef,0.469,0.100,
2,,4,dem,coef,0.489,0.085,
2,,6,dem,ftest_p,0.00,,
2,,7,dem,coef,-0.025,0.088,
2,,8,dem,coef,0.226,0.123,
2,,9,dem,coef,-0.581,0.198,
2,,1,inc,coef,0.072,0.010,
2,,2,inc,coef,0.010,0.035,
2,,3,inc,coef,-0.104,0.107,
2,,4,inc,coef,-0.129,0.076,
2,,5,inc,coef,0.054,0.046,
2,,6,inc,ftest_p,0.33,,
2,,7,inc,coef,0.053,0.066,
2,,8,inc,coef,-0.318,0.180,
2,,9,inc,coef,-0.030,0.156,
2,,1,obs,count,945,,
2,,2,obs,count,945,,
2,,3,obs,count,838,,
2,,4,obs,count,838,,
2,,5,obs,count,958,,
2,,6,obs,count,2895,,
2,,7,obs,count,457,,
2,,8,obs,count,338,,
2,,9,obs,count,192,,
2,,1,ctry,count,150,,
2,,2,ctry,count,150,,
2,,3,ctry,count,127,,
2,,4,ctry,count,127,,
2,,5,ctry,count,150,,
2,,6,ctry,count,148,,
2,,7,ctry,count,127,,
2,,8,ctry,count,118,,
2,,9,ctry,count,118,,
2,,1,r2,r2,0.73,,
2,,2,r2,r2,0.80,,
2,,5,r2,r2,0.76,,
2,,6,r2,r2,0.93,,
2,,7,r2,r2,0.77,,
2,,9,r2,r2,0.89,,
3,,1,dem,coef,0.749,0.034,
3,,2,dem,coef,0.449,0.063,
3,,3,dem,coef,0.582,0.127,
3,,4,dem,coef,0.590,0.106,
3,,6,dem,ftest_p,0.00,,
3,,7,dem,coef,0.060,0.091,
3,,8,dem,coef,0.309,0.134,
3,,9,dem,coef,-0.516,0.165,
3,,1,inc,coef,0.053,0.010,
3,,2,inc,coef,-0.006,0.039,
3,,3,inc,coef,-0.413,0.127,It is a copy of the standard error one row above. Every standard method gives 0.163.
3,,4,inc,coef,-0.351,0.127,
3,,5,inc,coef,-0.011,0.055,
3,,6,inc,ftest_p,0.53,,
3,,7,inc,coef,0.007,0.070,
3,,8,inc,coef,-0.368,0.190,
3,,9,inc,coef,-0.126,0.164,
3,,1,obs,count,854,,
3,,2,obs,count,854,,
3,,3,obs,count,747,,
3,,4,obs,count,747,,
3,,5,obs,count,880,,
3,,6,obs,count,3701,,
3,,7,obs,count,419,,
3,,8,obs,count,302,,
3,,9,obs,count,168,,
3,,1,ctry,count,136,,
3,,2,ctry,count,136,,
3,,3,ctry,count,114,,
3,,4,ctry,count,114,,
3,,5,ctry,count,136,,
3,,6,ctry,count,134,,
3,,7,ctry,count,114,,
3,,8,ctry,count,107,,
3,,9,ctry,count,100,,
3,,1,r2,r2,0.77,,
3,,2,r2,r2,0.82,,
3,,5,r2,r2,0.77,,
3,,6,r2,r2,0.96,,
3,,7,r2,r2,0.77,,
3,,9,r2,r2,0.87,,
4,,1,dem,coef,0.283,0.058,
4,,2,dem,coef,0.472,0.092,
4,,3,dem,coef,0.362,0.052,
4,,4,dem,coef,0.436,0.085,
4,,5,dem,coef,0.353,0.053,
4,,6,dem,coef,0.480,0.087,
4,,7,dem,coef,0.351,0.055,
4,,8,dem,coef,0.499,0.097,
4,,1,inc,coef,-0.031,0.049,
4,,2,inc,coef,-0.262,0.128,
4,,3,inc,coef,0.005,0.035,
4,,4,inc,coef,-0.151,0.078,
4,,5,inc,coef,0.015,0.041,
4,,6,inc,coef,-0.008,0.139,
4,,7,inc,coef,-0.001,0.049,
4,,8,inc,coef,-0.121,0.182,
4,,5,logpop,coef,-0.109,0.100,
