panel,family,setting,label,income,income_se,n_gmm
Freedom House,Blocking the years,1,1,-0.1291143441007352,0.07585984673292612,45
Freedom House,Blocking the years,2,2,-0.27354180266263084,0.1055255009522207,29
Freedom House,Blocking the years,3,3,-0.10524977802020041,0.09922566743322261,21
Freedom House,Blocking the years,4,4,-0.18036325443063816,0.09898552530009576,17
Freedom House,Blocking the years,5,5,-0.18057388236852656,0.1164655900525032,20
Freedom House,Blocking the years,6,6,-0.16236258161088868,0.10758658056435517,13
Freedom House,Blocking the years,7,7,-0.15008093683910984,0.10288115198302007,14
Freedom House,Blocking the years,8,8,-0.19194890231145711,0.10328916095949929,15
Freedom House,Blocking the years,9,9,-0.11311017990419181,0.10259040856840386,16
Freedom House,Blocking the years,10,10,-0.20278492382907443,0.11788266784908302,17
Freedom House,Blocking the years,11,11,-0.15423860708535653,0.11027694189411727,9
Freedom House,Fading out older lags,0.1,0.1,-0.21892824785824416,0.12307917282882026,9
Freedom House,Fading out older lags,0.2,0.2,-0.22440750910631557,0.12191697091200274,9
Freedom House,Fading out older lags,0.3,0.3,-0.2292890598585795,0.12076286957650156,9
Freedom House,Fading out older lags,0.4,0.4,-0.23297231233288196,0.11970142553795048,9
Freedom House,Fading out older lags,0.5,0.5,-0.23509285736560104,0.11885683699570002,9
Freedom House,Fading out older lags,0.6,0.6,-0.23530531906267926,0.11831761279789087,9
Freedom House,Fading out older lags,0.7,0.7,-0.23303030215299003,0.11806134580927524,9
Freedom House,Fading out older lags,0.8,0.8,-0.2274343547754727,0.1179444930580392,9
Freedom House,Fading out older lags,0.9,0.9,-0.21776248945444232,0.11779608879303627,9
Freedom House,Fading out older lags,1,1.0,-0.20359021999188842,0.11754349439120443,9
Polity,Blocking the years,1,1,-0.35056387752400164,0.12722323171799338,45
Polity,Blocking the years,2,2,-0.5517476365315579,0.15497074293368607,29
Polity,Blocking the years,3,3,-0.5369996507673154,0.17763294044859795,21
Polity,Blocking the years,4,4,-0.48548490810908884,0.15827498926580735,17
Polity,Blocking the years,5,5,-0.5911979442262627,0.17326082537337273,20
Polity,Blocking the years,6,6,-0.5216435943230797,0.17399784712883806,13
Polity,Blocking the years,7,7,-0.5043146279402757,0.16795800733175065,14
Polity,Blocking the years,8,8,-0.49204858756697334,0.16395161239478193,15
Polity,Blocking the years,9,9,-0.5474624101701684,0.18028336047393395,16
Polity,Blocking the years,10,10,-0.5907948149558964,0.1754653762171824,17
Polity,Blocking the years,11,11,-0.5123273814850702,0.173417259578702,9
Polity,Fading out older lags,0.1,0.1,-0.5528320929732118,0.17902555676173657,9
Polity,Fading out older lags,0.2,0.2,-0.5584911361180396,0.17966487122075203,9
Polity,Fading out older lags,0.3,0.3,-0.5630477096577051,0.17991609784445467,9
Polity,Fading out older lags,0.4,0.4,-0.5661042661315339,0.1797564582894963,9
Polity,Fading out older lags,0.5,0.5,-0.5674782498070572,0.1791948858124698,9
Polity,Fading out older lags,0.6,0.6,-0.5671736254437176,0.17830969053542875,9
Polity,Fading out older lags,0.7,0.7,-0.5653176630871952,0.17727546584475243,9
Polity,Fading out older lags,0.8,0.8,-0.5621259453599468,0.1763228121912029,9
Polity,Fading out older lags,0.9,0.9,-0.5579506248381927,0.17563257349058375,9
Polity,Fading out older lags,1,1.0,-0.5533186886827854,0.17524246100145682,9
