panel,size,draw,income,income_se,n_inst,hansen_p,hansen_df
Freedom House,4,1,-0.045746291320363675,0.13680267599279236,14,0.06282842222632883,3
Freedom House,4,2,0.07376854737534444,0.16683420045324013,14,0.09351992586255865,3
Freedom House,4,3,-0.11642480625763074,0.11442238960963647,14,0.11833213641774211,3
Freedom House,4,4,-0.24633210629542912,0.12655308733440515,14,0.038280987763583935,3
Freedom House,4,5,0.015767584139548596,0.14881816130799375,14,0.7965477283210862,3
Freedom House,4,6,-0.018420002780136002,0.13477089458809602,14,0.011579499213161001,3
Freedom House,4,7,0.024328105158994973,0.15129951605602118,14,0.02633035023568004,3
Freedom House,4,8,0.12393976673624785,0.22037247817094602,14,0.6588872449483796,3
Freedom House,4,9,0.06921619302242998,0.16309447193146923,14,0.3716796734689463,3
Freedom House,4,10,0.006171020539108341,0.18091589186467993,14,0.007636399894961563,3
Freedom House,4,11,-0.08670066982942348,0.1270656321618542,14,0.020733947615498828,3
Freedom House,4,12,-0.19279757126303299,0.11854975784748376,14,0.04545922747898563,3
Freedom House,4,13,0.014442015774331018,0.1518132713884198,14,0.04604942578960603,3
Freedom House,4,14,0.058765500028723494,0.17754743648911026,14,0.2842960628184335,3
Freedom House,4,15,0.027236579101305836,0.1616923775838285,14,0.07483043352300943,3
Freedom House,4,16,0.019933024721497716,0.16046390758593349,14,0.10161850916089445,3
Freedom House,4,17,-0.10451884647561549,0.13188000543919115,14,0.04581398218227949,3
Freedom House,4,18,-0.2249504625174561,0.14505399720729534,14,0.12722076317620679,3
Freedom House,4,19,0.47773206743339003,0.4665576409436741,14,0.8318384380064732,3
Freedom House,4,20,-0.1434091236638535,0.13836961151763347,14,0.01703089044033389,3
Freedom House,4,21,-0.21133951748167235,0.11609381658737715,14,0.010928627937778896,3
Freedom House,4,22,-0.02445492298190821,0.14748964274098314,14,0.2956475058496073,3
Freedom House,4,23,-9.70998577796145e-4,0.1373289652977202,14,0.04834705247400573,3
Freedom House,4,24,-0.1256775313494929,0.11144152399549587,14,0.02399109580368052,3
Freedom House,4,25,-0.015551998216507101,0.13362502987067393,14,0.03254474134991384,3
Freedom House,4,26,0.03414049759216553,0.15201940807510633,14,0.26424845836782074,3
Freedom House,4,27,0.10867078345669334,0.21198808231703292,14,0.061625976784870695,3
Freedom House,4,28,0.3083556687948352,0.5378431180712123,14,0.3053290790748374,3
Freedom House,4,29,0.11457919025731034,0.2126576433612563,14,0.0912566414707411,3
Freedom House,4,30,0.057612625977947474,0.17605757613178097,14,0.14012024358086506,3
Freedom House,4,31,3.6261296355544204e-4,0.1386092897218442,14,0.07709089432559539,3
Freedom House,4,32,-0.17410173282656327,0.11291007139624759,14,0.16913794097203225,3
Freedom House,4,33,-0.22722929062619635,0.14794127413777902,14,0.3593776431722408,3
Freedom House,4,34,-0.14738598604416087,0.12515683046968587,14,0.0027581931102382946,3
Freedom House,4,35,-0.10852511255444508,0.12446447540049495,14,0.03946752755788045,3
Freedom House,4,36,-0.11238839874742812,0.12681237840319998,14,0.04856460647242768,3
Freedom House,4,37,0.05901938355808767,0.35130394502366724,14,0.018506340093070367,3
Freedom House,4,38,0.039126795020575145,0.18292426284818683,14,0.03053628464359138,3
Freedom House,4,39,0.0627084002315268,0.19008215433034123,14,0.8502769241783872,3
Freedom House,4,40,-0.20160717866498246,0.12850141289696673,14,3.8784179464548086e-4,3
Freedom House,4,41,-0.13459479822860132,0.20293418950017383,14,0.018385122190804966,3
Freedom House,4,42,-6.098438212882584e-4,0.1506186201769681,14,0.08885420051715646,3
Freedom House,4,43,-0.04594637617346997,0.12678840775645311,14,0.07492987949196299,3
Freedom House,4,44,0.026836023145835775,0.15279968173900177,14,0.19372990920170935,3
Freedom House,4,45,-0.04454932998606509,0.18503713934703303,14,0.018354788597736992,3
Freedom House,4,46,-0.17961490719831907,0.11905933066657744,14,0.013763509960969747,3
Freedom House,4,47,-0.0038624738914512236,0.15338316117638856,14,0.24189221241761527,3
Freedom House,4,48,0.02394751068504508,0.14965789042751454,14,0.17779118502659014,3
Freedom House,4,49,0.04705632541410765,0.19324470346867356,14,0.04876366571919043,3
Freedom House,4,50,1.4209810986720584e-4,0.14582201056171282,14,0.031581619334190146,3
Freedom House,4,51,-0.09668458120898649,0.12274683883828319,14,0.004563734698211683,3
Freedom House,4,52,-0.3020650969534886,0.12382565197920585,14,0.0014358716196418578,3
Freedom House,4,53,0.05095150442059193,0.1687028503535938,14,0.0727081300023407,3
Freedom House,4,54,0.08595082379740315,0.21291389059555207,14,0.14403177966316286,3
Freedom House,4,55,-0.1495005302894432,0.11058741932494806,14,0.0640402046903991,3
Freedom House,4,56,-0.21499891180170838,0.11573345075710999,14,0.007547894216541536,3
Freedom House,4,57,0.04285930419233974,0.17537033088402162,14,0.07654589448203634,3
Freedom House,4,58,0.047974104244972615,0.1647096073031143,14,0.5360749409267584,3
Freedom House,4,59,-0.05699438620774533,0.13190609916648885,14,0.004450857614083487,3
Freedom House,4,60,-0.08162497643726407,0.1356860441354944,14,0.43745966491621197,3
Freedom House,4,61,-0.26206229418239246,0.12376591113702957,14,0.164048189287595,3
Freedom House,4,62,-0.06918606994273802,0.1367701169933137,14,0.17984493703326165,3
Freedom House,4,63,-0.18541133796813725,0.12530441112471988,14,0.0037157501331336403,3
Freedom House,4,64,-0.2538452065423531,0.12292973309284279,14,0.06484839309942511,3
Freedom House,4,65,0.05523085782204884,0.1502782541069037,14,0.03694369881678883,3
Freedom House,4,66,-0.03631854158658765,0.14115339997813675,14,0.2879261256242294,3
Freedom House,4,67,-0.3659599733073273,0.19956678689496388,14,0.4733093006471029,3
Freedom House,4,68,0.02549634794552258,0.15574606626197693,14,0.655302095075622,3
Freedom House,4,69,-0.12297396843564457,0.1156998425368221,14,0.22029036674230923,3
Freedom House,4,70,-0.23294678420816783,0.1249802001662259,14,0.05685144923683267,3
Freedom House,4,71,0.018632547738344662,0.14762368692958197,14,0.010321319809540114,3
Freedom House,4,72,0.09595510430072807,0.18873673137169028,14,0.12373952073346584,3
Freedom House,4,73,0.2819423894291173,0.36883891479766845,14,0.05498375386599951,3
Freedom House,4,74,-0.20759066545015958,0.1291341261693862,14,0.09644229809280187,3
Freedom House,4,75,-0.30569349958866976,0.15079289665316922,14,0.8266893296305617,3
Freedom House,4,76,-0.13004770088381612,0.12804516583195577,14,0.015477571044072252,3
Freedom House,4,77,0.019519910291485587,0.17704516255661787,14,0.015039284622005064,3
Freedom House,4,78,-0.20006222846846722,0.1407961791493953,14,0.09272622644483382,3
Freedom House,4,79,-0.040247159214859884,0.13424445993568584,14,0.2894422197723627,3
Freedom House,4,80,-0.19952311341957074,0.12000754851818612,14,0.002118837350872306,3
Freedom House,4,81,-0.07843713187473611,0.11187856139293263,14,0.022933683035196818,3
Freedom House,4,82,0.09069700917209644,0.1675472126093417,14,0.044695829625095995,3
Freedom House,4,83,0.03582461990102015,0.16860237564550531,14,0.49695832883189206,3
Freedom House,4,84,-0.06616320010898313,0.1252137931247653,14,0.1819093220079948,3
Freedom House,4,85,-0.08819802289297929,0.12150607711053364,14,0.05305821806452857,3
Freedom House,4,86,0.02572476976015814,0.13586804010311146,14,0.022115221566063346,3
Freedom House,4,87,-0.09239834515029433,0.13588071683615047,14,0.01873563927857853,3
Freedom House,4,88,-0.07020652122975068,0.1294760787298482,14,0.02814766562407004,3
Freedom House,4,89,0.005759158298971556,0.1452565276007962,14,0.9167923832632485,3
Freedom House,4,90,-0.11739707564014346,0.1200602724071532,14,0.01033213349152185,3
Freedom House,4,91,0.01048848130064961,0.1536811947987447,14,0.16276274001091656,3
Freedom House,4,92,0.33363580923018965,0.3597732842155796,14,0.7255669321638343,3
Freedom House,4,93,0.05917116835310399,0.1705030416613835,14,0.33582670766519856,3
Freedom House,4,94,-0.20897665100154494,0.12451968290265909,14,0.0014672066810059842,3
