Random subsets of the uncollapsed instrument set (Roodman footnote 7).
200 draws at each size; one-step difference GMM for the coefficient,
two-step for the Hansen test. Paper's instrument design, all lags.
Panel             Insts   median      min      max       sd   rej 5%
Freedom House        14   -0.024   -0.366    0.879    0.152     0.41
Freedom House        22   -0.145   -0.293    0.057    0.084     0.76
Freedom House        30   -0.192   -0.293    0.055    0.063     0.69
Freedom House        38   -0.195   -0.321   -0.027    0.045     0.32
Freedom House        46   -0.179   -0.269   -0.079    0.035     0.00
Freedom House        54   -0.133   -0.181   -0.106    0.017     0.00
Polity               14   -0.491   -0.670   -0.171    0.076     0.32
Polity               22   -0.537   -0.649   -0.362    0.051     0.36
Polity               30   -0.536   -0.646   -0.355    0.050     0.33
Polity               38   -0.510   -0.646   -0.353    0.051     0.28
Polity               46   -0.455   -0.614   -0.310    0.062     0.48
Polity               54   -0.354   -0.486   -0.319    0.029     0.94
