panel,size,n_inst,med,lo,hi,sd,med_se,rej
Freedom House,4,14,-0.02405156204794645,-0.3659599733073273,0.8792961233452132,0.15176909144229184,0.14433309124005922,0.41
Freedom House,12,22,-0.14529529374247052,-0.29331491277809363,0.056925658983160154,0.08352092117723806,0.12129148709785992,0.76
Freedom House,20,30,-0.192011602607004,-0.29337525669672226,0.055109977283599676,0.06300688486313964,0.11306114743070775,0.695
Freedom House,28,38,-0.1951021164437976,-0.3211033106073451,-0.02711141449596477,0.04523894590996823,0.10464190815611688,0.32
Freedom House,36,46,-0.17909524715884628,-0.2693926640885258,-0.07925792674295984,0.03451261430474405,0.09502787094195424,0
Freedom House,44,54,-0.13312229046275703,-0.18111293365460757,-0.10635596807936243,0.016653360611185466,0.07704965400330856,0
Polity,4,14,-0.49131472468170445,-0.6695926443879543,-0.17133653641357682,0.07607776442944525,0.179993146750054,0.32
Polity,12,22,-0.5365596300505184,-0.6486938529988411,-0.36169783227749086,0.051169215750098904,0.16841699040293534,0.36
Polity,20,30,-0.5357114957888527,-0.6455761230861707,-0.3546129746941764,0.04969452883257899,0.1618349415452682,0.33
Polity,28,38,-0.5099977036022145,-0.6457542285717901,-0.3526254900718504,0.05145698857190473,0.151924319281187,0.275
Polity,36,46,-0.45461164476369054,-0.6143899558661499,-0.309549273014996,0.061608331326363126,0.14158400352325307,0.475
Polity,44,54,-0.35449296432943145,-0.48636776064558784,-0.3186291944089863,0.02858609657543444,0.12796439389219322,0.94
