panel,estimator,income,income_se,dem,dem_se,n,countries,instruments,hansen_p,ar2_p
Freedom House,Pooled OLS,0.07231846377515674,0.009923285423302298,0.7063698230483884,0.03545226347023366,945,150,NA,NA,NA
Freedom House,Fixed effects,0.010414973996550572,0.03454819807726334,0.3786283660080064,0.05093129450981121,945,150,NA,NA,NA
Freedom House,Anderson-Hsiao IV,-0.10357926859239493,0.10741790584878477,0.4686592975601575,0.09952934710982446,838,127,NA,NA,NA
Freedom House,"Arellano-Bond, difference GMM (replication)",-0.1291143441007352,0.07585984673292612,0.48882861391324006,0.08504660085412875,838,127,55,NA,NA
Freedom House,"Arellano-Bond, difference GMM (one-step)",-0.11435960023248204,0.10119332916032198,0.4749080283183151,0.07890350804573101,1064,152,63,0.025178423693452214,0.7409622893769028
Freedom House,"Arellano-Bond, difference GMM (two-step)",-0.08484492297975388,0.058607084932636985,0.4491617277084482,0.08686790750644567,1064,152,63,0.16946686878322512,0.7560466104283557
Freedom House,"Blundell-Bond, system GMM (one-step)",0.09791774442627399,0.021242563295206997,0.6110740115300849,0.060975686799469325,2280,152,78,0.029915445223962434,0.4950784452092313
Freedom House,"Blundell-Bond, system GMM (two-step)",0.09164077944928928,0.02200541366558217,0.6295484089719947,0.059366149517217984,2280,152,78,0.11426719309277893,0.5022010663414326
Polity,Pooled OLS,0.053034867799482244,0.010227419972723263,0.7488986210163641,0.03448773856824533,854,136,NA,NA,NA
Polity,Fixed effects,-0.0055954196711132005,0.03878785894045791,0.4486069847546226,0.06320212671425413,854,136,NA,NA,NA
Polity,Anderson-Hsiao IV,-0.41258131256366126,0.16287459354873884,0.5817886745677929,0.12725082301873653,747,114,NA,NA,NA
Polity,"Arellano-Bond, difference GMM (replication)",-0.35056387752400164,0.12722323171799338,0.5897910230548581,0.10617636049166006,747,114,55,NA,NA
Polity,"Arellano-Bond, difference GMM (one-step)",-0.27321696779658566,0.0923018262039564,0.6180456653823125,0.10406831933693825,966,138,63,0.00726231866670229,0.2788501437294798
Polity,"Arellano-Bond, difference GMM (two-step)",-0.24895565411815734,0.09776646584333513,0.6164859755701991,0.11867332867933694,966,138,63,0.12543128840760348,0.31636697111201784
Polity,"Blundell-Bond, system GMM (one-step)",0.07194523782706244,0.019505609009249376,0.6860143520007067,0.0810613093884391,2070,138,78,0.004895498103701561,0.2675592390210662
Polity,"Blundell-Bond, system GMM (two-step)",0.06924359350329107,0.022778345731105258,0.7029106415672481,0.0885009806332001,2070,138,78,0.047253469986668004,0.2896367312060699
