panel,weighting,estimator,instruments_kept,max_lag,income,income_se,obs,countries,n_inst,ar1_p,ar2_p,overid_test,overid_df,overid_p
Freedom House,One-step,Difference GMM,uncollapsed,2,-0.3156548200302569,0.17296241961562933,675,124,21,6.295450146870714e-20,0.8509782571181921,Sargan,12,7.925430447102877e-20
Freedom House,One-step,Difference GMM,collapsed,2,-0.23425328759610764,0.14669156725077762,675,124,9,2.9342977416693676e-28,0.7446837504325456,Sargan,0,NA
Freedom House,One-step,System GMM,uncollapsed,2,0.10006820745759182,0.023149762158268163,1483,133,36,3.2975175344176695e-6,0.4839740317632601,Sargan,26,3.298668575472274e-58
Freedom House,One-step,System GMM,collapsed,2,0.10973533245689199,0.025596834150241658,1483,133,12,2.0572694537935824e-6,0.5104769331653465,Sargan,2,6.916171186064397e-4
Freedom House,One-step,Difference GMM,uncollapsed,3,-0.2429249761571044,0.1434568977454836,675,124,33,3.0392391837818545e-11,0.7723436339321605,Sargan,24,1.7412797160085697e-24
Freedom House,One-step,Difference GMM,collapsed,3,-0.20036775659377248,0.1358560045639904,675,124,11,4.913584563713463e-13,0.7439666752762912,Sargan,2,0.006244680087813715
Freedom House,One-step,System GMM,uncollapsed,3,0.09747347504027482,0.02206394584811352,1483,133,48,1.4219438604496601e-5,0.4906225833977771,Sargan,38,8.2473940037257e-62
Freedom House,One-step,System GMM,collapsed,3,0.09906410025590051,0.02410171485189678,1483,133,14,1.0175169962826875e-5,0.5168495509194051,Sargan,4,7.543330599825624e-6
Freedom House,One-step,Difference GMM,uncollapsed,4,-0.11039434878845356,0.11797334471994976,675,124,43,6.201058809666051e-13,0.6698886031192512,Sargan,34,6.052002058183567e-38
Freedom House,One-step,Difference GMM,collapsed,4,-0.18911547822855113,0.13320718021941866,675,124,13,1.9823952823965798e-12,0.7501194900342341,Sargan,4,4.8587790083676045e-4
Freedom House,One-step,System GMM,uncollapsed,4,0.092248944557423,0.021200422173460114,1483,133,58,1.1852782102132968e-5,0.492977610420979,Sargan,48,4.1362237682304894e-75
Freedom House,One-step,System GMM,collapsed,4,0.0990544316601441,0.02367438558258389,1483,133,16,1.1827105609414403e-5,0.512399095373809,Sargan,6,4.859174262741715e-7
Freedom House,One-step,Difference GMM,uncollapsed,5,-0.1517413950761104,0.11187655380401354,675,124,51,3.618644594418397e-11,0.7170184793882004,Sargan,42,3.386634861487977e-45
Freedom House,One-step,Difference GMM,collapsed,5,-0.21722321301003245,0.13369413532924654,675,124,15,7.290309950807249e-16,0.7735325479598414,Sargan,6,6.940545167867935e-4
Freedom House,One-step,System GMM,uncollapsed,5,0.0947706567353343,0.021710389606425302,1483,133,66,1.9831896051632897e-5,0.4916375916683082,Sargan,56,9.176370055226226e-95
Freedom House,One-step,System GMM,collapsed,5,0.09845783608459124,0.023652989709038164,1483,133,18,1.0191151565180938e-5,0.5127127983663673,Sargan,8,1.105859042854363e-7
Freedom House,One-step,Difference GMM,uncollapsed,6,-0.2080176516259249,0.1098264371202182,675,124,57,2.504540109177773e-10,0.7811575316895376,Sargan,48,1.341156193640195e-46
Freedom House,One-step,Difference GMM,collapsed,6,-0.22642640811596282,0.1350993443062421,675,124,17,1.855024047712686e-15,0.7830391214560313,Sargan,8,2.5763995200285788e-5
Freedom House,One-step,System GMM,uncollapsed,6,0.09587849188011638,0.021201370152992526,1483,133,72,1.384702789922905e-5,0.4925475913520095,Sargan,62,1.2878443731356706e-95
Freedom House,One-step,System GMM,collapsed,6,0.10236519093506546,0.023826973080463682,1483,133,20,9.807457037366858e-6,0.5073204445385354,Sargan,10,3.1677548156136113e-9
Freedom House,One-step,Difference GMM,uncollapsed,7,-0.14775762398122905,0.10339323508038747,675,124,61,5.053429759088023e-10,0.7597868505412386,Sargan,52,3.342566744713287e-58
Freedom House,One-step,Difference GMM,collapsed,7,-0.2113409740432033,0.13287930098897816,675,124,19,2.69540294570675e-15,0.7802070523165338,Sargan,10,1.9472093435291672e-5
Freedom House,One-step,System GMM,uncollapsed,7,0.09650449810829445,0.021200122764437102,1483,133,76,1.2763447804690476e-5,0.4961192666030368,Sargan,66,4.135099817240081e-99
Freedom House,One-step,System GMM,collapsed,7,0.103825170442228,0.02355251128375868,1483,133,22,9.007338456329485e-6,0.5073535287247964,Sargan,12,4.119415372046069e-9
Freedom House,One-step,Difference GMM,uncollapsed,8,-0.11435960023248204,0.10119332916032198,675,124,63,4.1032581659084677e-10,0.7409622893769028,Sargan,54,7.806097384299545e-60
Freedom House,One-step,Difference GMM,collapsed,8,-0.2014304172937913,0.12735053274494149,675,124,21,7.263030366715081e-15,0.8022337092355443,Sargan,12,9.860983421092905e-20
Freedom House,One-step,System GMM,uncollapsed,8,0.09791774442627399,0.021242563295206997,1483,133,78,1.0238169638503193e-5,0.4950784452092313,Sargan,68,1.1921621272431703e-100
Freedom House,One-step,System GMM,collapsed,8,0.09538499252575539,0.023682673519082823,1483,133,24,8.019517151991194e-6,0.5154922529036603,Sargan,14,4.125899506693867e-22
Freedom House,Two-step,Difference GMM,uncollapsed,2,-0.25344776051205775,0.18601995508878968,675,124,21,3.2709033759792823e-6,0.8392154313364187,Hansen,12,0.006808377960480619
Freedom House,Two-step,Difference GMM,collapsed,2,-0.23425328759618314,0.14669156725068744,675,124,9,1.2504048667183184e-8,0.7507476240188081,Hansen,0,NA
Freedom House,Two-step,System GMM,uncollapsed,2,0.10857064065061167,0.02821124543360555,1483,133,36,3.2008282985580883e-6,0.4553490692442237,Hansen,26,0.016306696563807906
Freedom House,Two-step,System GMM,collapsed,2,0.10830266704139402,0.02468317272088709,1483,133,12,2.503227785032617e-5,0.5309737410791977,Hansen,2,0.313518497191046
Freedom House,Two-step,Difference GMM,uncollapsed,3,-0.16822271199865257,0.13438466658703468,675,124,33,1.662402618262011e-6,0.733016017176702,Hansen,24,0.10669768514065806
Freedom House,Two-step,Difference GMM,collapsed,3,-0.1777077572458401,0.1337585083719362,675,124,11,6.393145637679339e-7,0.7571123218367499,Hansen,2,0.24889785134243514
Freedom House,Two-step,System GMM,uncollapsed,3,0.08657362212251091,0.025024454522563667,1483,133,48,1.3951012381541403e-4,0.4808470631408499,Hansen,38,0.02746862923261694
Freedom House,Two-step,System GMM,collapsed,3,0.10138808848489111,0.024097202569902443,1483,133,14,6.0232271934774234e-5,0.5383221246868186,Hansen,4,0.28235962767413325
Freedom House,Two-step,Difference GMM,uncollapsed,4,-0.07239875920273142,0.08575224676537249,675,124,43,8.880119442185616e-7,0.6126562139683207,Hansen,34,0.13448490084521908
Freedom House,Two-step,Difference GMM,collapsed,4,-0.13263831649477398,0.12693989714312026,675,124,13,4.4913929200577124e-7,0.6933565925984118,Hansen,4,0.3725509385705238
Freedom House,Two-step,System GMM,uncollapsed,4,0.08618644446529566,0.0233037431693871,1483,133,58,3.5724652232523144e-4,0.4990781881840446,Hansen,48,0.0418114826601892
Freedom House,Two-step,System GMM,collapsed,4,0.09999538041313005,0.02393775631070166,1483,133,16,4.8775145531009206e-5,0.5121553009015758,Hansen,6,0.3012845722782024
Freedom House,Two-step,Difference GMM,uncollapsed,5,-0.11831158666573105,0.06810680176561976,675,124,51,1.9460791990973363e-6,0.6766743699619431,Hansen,42,0.19550157860604953
Freedom House,Two-step,Difference GMM,collapsed,5,-0.14561193810158723,0.12670272856085482,675,124,15,8.275570108643953e-7,0.6843731488783464,Hansen,6,0.5915138284097238
Freedom House,Two-step,System GMM,uncollapsed,5,0.09002909394953479,0.025490367517903994,1483,133,66,0.0010966385906348007,0.5119670745331784,Hansen,56,0.02968262825891506
Freedom House,Two-step,System GMM,collapsed,5,0.09790698270449527,0.023657325924782105,1483,133,18,1.0122999404768746e-4,0.5097414584471112,Hansen,8,0.4566103081959265
Freedom House,Two-step,Difference GMM,uncollapsed,6,-0.1356256353217138,0.09808669639811529,675,124,57,4.105242397121504e-6,0.7523953280971734,Hansen,48,0.1602779331193729
Freedom House,Two-step,Difference GMM,collapsed,6,-0.1203832445653017,0.12816723863367727,675,124,17,1.0352293398149167e-6,0.6475310887194308,Hansen,8,0.6220221541953556
Freedom House,Two-step,System GMM,uncollapsed,6,0.09514366958424547,0.02330556865599907,1483,133,72,3.0658203244175963e-4,0.5022742548941459,Hansen,62,0.06693603234414246
Freedom House,Two-step,System GMM,collapsed,6,0.09833955567887553,0.023980391617012157,1483,133,20,7.077912697479864e-5,0.494614113996593,Hansen,10,0.5558835424042261
Freedom House,Two-step,Difference GMM,uncollapsed,7,-0.09700883943165772,0.0795685419844194,675,124,61,3.828444990747407e-6,0.748009113967574,Hansen,52,0.19001864400548643
Freedom House,Two-step,Difference GMM,collapsed,7,-0.09037360092856073,0.11337739926695822,675,124,19,9.519556346576723e-7,0.6309509447970509,Hansen,10,0.7103749525592435
Freedom House,Two-step,System GMM,uncollapsed,7,0.0905009486393038,0.022294011306428864,1483,133,76,3.828705710342436e-4,0.5038760384857627,Hansen,66,0.08744019882870743
Freedom House,Two-step,System GMM,collapsed,7,0.10350134657973797,0.023503478775107313,1483,133,22,7.591155701486404e-5,0.4943921777547746,Hansen,12,0.6540821307299041
Freedom House,Two-step,Difference GMM,uncollapsed,8,-0.08484492297975388,0.058607084932636985,675,124,63,4.353194905096053e-6,0.7560466104283557,Hansen,54,0.16946686878322512
Freedom House,Two-step,Difference GMM,collapsed,8,-0.05509785358336039,0.1019757225096834,675,124,21,1.673654143517731e-6,0.6492489257256582,Hansen,12,0.04325788017385456
Freedom House,Two-step,System GMM,uncollapsed,8,0.09164077944928928,0.02200541366558217,1483,133,78,3.1156891057008355e-4,0.5022010663414326,Hansen,68,0.11426719309277893
Freedom House,Two-step,System GMM,collapsed,8,0.10125400409091811,0.02588647863174817,1483,133,24,7.323568599686721e-5,0.5118022323447063,Hansen,14,0.1306901276934657
Polity,One-step,Difference GMM,uncollapsed,2,-0.6996461600392969,0.24926118508397005,600,111,21,NA,0.2114142709712427,Sargan,12,9.04663683194733e-22
Polity,One-step,Difference GMM,collapsed,2,-0.4292706366534045,0.20211016917980199,600,111,9,NA,0.22193194577257544,Sargan,0,NA
