panel,weighting,estimator,instruments_kept,first,last,move,travel,n_first,n_last
Freedom House,One-step,Difference GMM,collapsed,-0.23425328759610764,-0.2014304172937913,0.03282287030231634,0.10744473007713973,9,21
Freedom House,One-step,Difference GMM,uncollapsed,-0.3156548200302569,-0.11435960023248204,0.20129521979777487,0.39654182547271755,21,63
Freedom House,One-step,System GMM,collapsed,0.10973533245689199,0.09538499252575539,-0.014350339931136602,0.025085008646410112,12,24
Freedom House,One-step,System GMM,uncollapsed,0.10006820745759182,0.09791774442627399,-0.0021504630313178286,0.013488062769019815,36,78
Freedom House,Two-step,Difference GMM,collapsed,-0.23425328759618314,-0.05509785358336039,0.17915543401282275,0.20510267722644926,9,21
Freedom House,Two-step,Difference GMM,uncollapsed,-0.25344776051205775,-0.08484492297975388,0.16860283753230387,0.2950565897702686,21,63
Freedom House,Two-step,System GMM,collapsed,0.10830266704139402,0.10125400409091811,-0.0070486629504759035,0.01823739070096131,12,24
Freedom House,Two-step,System GMM,uncollapsed,0.10857064065061167,0.09164077944928928,-0.016929861201322394,0.03712397305919296,36,78
Polity,One-step,Difference GMM,collapsed,-0.4292706366534045,-0.5203496843702977,-0.09107904771689324,0.13302675377959172,9,21
Polity,One-step,Difference GMM,uncollapsed,-0.6996461600392969,-0.27321696779658566,0.42642919224271125,0.42642919224271125,21,63
Polity,One-step,System GMM,collapsed,0.08897245865022971,0.06704150609528395,-0.02193095255494576,0.0296457995981666,12,24
Polity,One-step,System GMM,uncollapsed,0.07948834161913526,0.07194523782706244,-0.0075431037920728194,0.013075689800433193,36,78
Polity,Two-step,Difference GMM,collapsed,-0.429270636653623,-0.45673697687625414,-0.02746634022263117,0.1025826020827505,9,21
Polity,Two-step,Difference GMM,uncollapsed,-0.3433925736359076,-0.24895565411815734,0.09443691951775024,0.16203698005143907,21,63
Polity,Two-step,System GMM,collapsed,0.05785431571321056,0.04952820403312019,-0.00832611168009037,0.03272173329500208,12,24
Polity,Two-step,System GMM,uncollapsed,0.06024207729916772,0.06924359350329107,0.009001516204123344,0.023684075168008717,36,78
