spec,table,column,instruments,k,countries,obs,first_stage_F,effective_F,stock_yogo,mop_cv,tsls,tsls_se,tsls_lo,tsls_hi,ar_set,ar_lo,ar_hi,ar_bounded,ar_p0,clrr_set,clrr_lo,clrr_hi,clrr_p0,clr_set,clr_lo,clr_hi,clr_p0
Table 5 col 4,5,4,z2,1,134,900,23.99332505480541,23.99332505480541,16.38,23.109,-0.03478061054792664,0.09426784895576121,-0.2212387642388354,0.15167754314298212,"[-0.27, 0.14]",-0.2671004457333284,0.14402522667944048,TRUE,0.707224323644168,"[-0.26, 0.14]",-0.2642572966083185,0.14233627750393096,0.706624551074096,"[-0.19, 0.11]",-0.18608167656153138,0.11126116149479287,0.6407742830105099
Table 5 col 5,5,5,z2,1,134,891,24.68006212921446,24.68006212921446,16.38,23.109,-0.020492790243709126,0.08136381707054688,-0.18142726871407883,0.1404416882266606,"[-0.21, 0.14]",-0.20746201466255942,0.14412821698652895,TRUE,0.8003267176726474,"[-0.21, 0.14]",-0.20531873034702242,0.1424644004790969,0.7999353875834668,"[-0.16, 0.12]",-0.16220673994031715,0.1192435634648207,0.772068561353136
Table 5 col 7,5,7,z2,1,98,471,14.541826904035494,14.541826904035494,16.38,23.109,-0.03572753001901663,0.19095356764954266,-0.4147175031851539,0.3432624431471206,"[-0.57, 0.33]",-0.569167963091297,0.3335662346492294,TRUE,0.849929561265117,"[-0.56, 0.33]",-0.5584856096128187,0.3284148567054695,0.8495331306472762,"[-0.32, 0.24]",-0.3228233638698483,0.2385478198701071,0.7972773850628487
Table 5 col 8,5,8,z2,1,124,733,21.32639224560731,21.32639224560731,16.38,23.109,-0.07413438984043036,0.11315711577331514,-0.2981219622957098,0.1498531826148491,"[-0.35, 0.15]",-0.34793242031616284,0.15034717627197788,TRUE,0.5051105093131032,"[-0.34, 0.15]",-0.34432178665292024,0.14791431598294785,0.5038580354352098,"[-0.29, 0.13]",-0.2854061266378405,0.1291787705468968,0.4714416704249793
Table 5 col 9,5,9,z2 + z3,2,125,796,12.098540631116766,21.555538368278107,19.93,23.109,0.01564592249191421,0.09506419712826002,-0.1725127526850536,0.203804597668882,"[-0.28, 0.26]",-0.2825052932480921,0.26495979409652687,TRUE,0.9866643551373524,"[-0.21, 0.21]",-0.20770222232732594,0.21028356982319055,0.8730425,"[-0.14, 0.17]",-0.13684342818133424,0.1670700932303007,0.837955
Table 6 col 4,6,4,z1,1,124,906,23.611875492163836,23.611875492163833,16.38,23.109,-0.21298725188681877,0.15020846380318936,-0.5103156959672861,0.08434119219364855,"[-0.59, 0.07]",-0.5859816415277563,0.07117986909886301,TRUE,0.13900807369693663,"[-0.58, 0.07]",-0.5810090603718532,0.06828448701435162,0.13644845853850662,"[-0.47, 0.00]",-0.4699525372939689,0.004570602765347681,0.055098205814023825
Table 6 col 5,6,5,z1,1,124,895,26.526022773201827,26.526022773201827,16.38,23.109,-0.11964452571510552,0.10537436975943701,-0.3282266296342591,0.08893757820404803,"[-0.35, 0.10]",-0.3517876632892292,0.10024837256454615,TRUE,0.26307589072800863,"[-0.35, 0.10]",-0.34904311282333167,0.09778430294230885,0.2608865309181034,"[-0.33, 0.08]",-0.3326132518899092,0.07608447329198643,0.22931661021260913
Table 6 col 7,6,7,z1,1,124,906,39.51247678891995,39.512476788919955,16.38,23.109,-0.20190383372812054,0.1300067801475783,-0.45924428367665465,0.05543661622041357,"[-0.48, 0.06]",-0.48062241581652515,0.06185316594533267,TRUE,0.12667531442377666,"[-0.48, 0.06]",-0.4775004159913807,0.059055665135383156,0.12410675707084869,"[-0.44, 0.00]",-0.4383980621201491,0.0019321826539050078,0.05224876538833745
Table 6 col 8,6,8,z2wi,1,124,906,14.221383561752342,14.221383561752338,16.38,23.109,-0.19840689687871077,0.1600957634432933,-0.5153066443579087,0.1184928506004872,"[-0.68, 0.09]",-0.6846482954809098,0.08666953790961202,TRUE,0.17364118005565665,"[-0.68, 0.08]",-0.676394629537437,0.0838124324013718,0.17114674653142634,"[-0.49, 0.04]",-0.4870630310381322,0.04342857169350733,0.10851663666007154
Table 6 col 9,6,9,z1 + z2wi,2,124,906,17.754195635973804,13.216561447094485,19.93,23.109,-0.21732359554548375,0.14892684945633872,-0.5121151626084244,0.07746797151745688,"[-0.71, 0.07]",-0.7077784814472657,0.06778401704249021,TRUE,0.1750564646646161,"[-0.58, 0.01]",-0.5815299674170465,0.011779851007093575,0.0634475,"[-0.48, 0.00]",-0.4761382268670466,1.6510305872667624e-4,0.05017
