Spec             Instrument(s)    k  1st-st F    SY 10% 2SLS (SE)            Conventional 95% CI    Anderson-Rubin 95%    
Table 5 col 4    z2               1     23.99     16.38 -0.035 (0.094)       [-0.22, 0.15]          [-0.27, 0.14]         
Table 5 col 5    z2               1     24.68     16.38 -0.020 (0.081)       [-0.18, 0.14]          [-0.21, 0.14]         
Table 5 col 7    z2               1     14.54     16.38 -0.036 (0.191)       [-0.41, 0.34]          [-0.57, 0.33]         
Table 5 col 8    z2               1     21.33     16.38 -0.074 (0.113)       [-0.30, 0.15]          [-0.35, 0.15]         
Table 5 col 9    z2 + z3          2     12.10     19.93 0.016 (0.095)        [-0.17, 0.20]          [-0.28, 0.26]         
Table 6 col 4    z1               1     23.61     16.38 -0.213 (0.150)       [-0.51, 0.08]          [-0.58, 0.07]         
Table 6 col 5    z1               1     26.53     16.38 -0.120 (0.105)       [-0.33, 0.09]          [-0.35, 0.10]         
Table 6 col 7    z1               1     39.51     16.38 -0.202 (0.130)       [-0.46, 0.06]          [-0.48, 0.06]         
Table 6 col 8    z2wi             1     14.22     16.38 -0.198 (0.160)       [-0.52, 0.12]          [-0.68, 0.09]         
Table 6 col 9    z1 + z2wi        2     17.75     19.93 -0.217 (0.149)       [-0.51, 0.08]          [-0.71, 0.07]         

Moreira CLR 95% sets (homoskedastic):
  Table 5 col 4    [-0.18, 0.11]
  Table 5 col 5    [-0.16, 0.12]
  Table 5 col 7    [-0.32, 0.24]
  Table 5 col 8    [-0.29, 0.12]
  Table 5 col 9    [-0.13, 0.16]
  Table 6 col 4    [-0.46, 0.00]
  Table 6 col 5    [-0.33, 0.08]
  Table 6 col 7    [-0.43, 0.00]
  Table 6 col 8    [-0.49, 0.04]
  Table 6 col 9    [-0.47, 0.00]
